<< ITALIA-RS >> |DUPLICATAS POR OP.FINAN./HIST.|12/12/14|14:45
Estab:|         1|a|         5|Período:|01/10/14|a|31/10/14|Op. Financ:|   |a|zzz
Hist:|    |a|zzzz|Moeda:|          |Pagador:|         0|a|       999
Ativ:|                              
Cliente|Pag|Depto|Est.|Doc.|Fatura/DP|Data Mov.|Port:|Valor
Op. Financeira:|001|Emissao de Titulo   | - |0001|Emissao de Titulos  
 9275826000138  Climatizadores Vit|  1|64106   |  1|   521942/01|02/10/14| 237|             90,00
14797270000180  Adilson Pereira da|  1|64106   |  1|   521943/01|02/10/14| 237|            124,02
33197260000158  Ind Com de Solv Ti|  1|64106   |  1|   521944/01|02/10/14| 237|           5298,96
 1550498000129  Rodrigo Colombo Me|  1|64106   |  1|   521945/01|03/10/14| 341|            113,86
 3007888000182  A R G Comercio e I|  1|64106   |  1|   521946/01|03/10/14| 341|           2851,01
 3095103000170  Criart Line Moveis|  1|64106   |  1|   521947/01|03/10/14| 341|            866,50
 4853074000121  Lariludi Comercial|  1|64106   |  1|   521948/01|03/10/14| 341|           1402,68
 5333226000128  Romanzza Moveis Lt|  1|64106   |  1|   521949/01|03/10/14| 341|            142,09
 5690983000159  Modulos e Decoraco|  1|64106   |  1|   521950/01|03/10/14| 341|            461,31
 6007332000184  Movelart Moveis e |  1|64106   |  1|   521951/01|03/10/14| 341|            827,63
 6011303000196  Soluction Km 01 Mo|  1|64106   |  1|   521952/01|03/10/14| 341|           1022,70
 6041850000114  Junior e Junior Co|  1|64106   |  1|   521953/01|03/10/14| 341|           1528,81
 6964831000160  Kazeart Com de Mov|  1|64106   |  1|   521954/01|03/10/14| 341|           1541,76
 7323332000156  Atual Modulados Lt|  1|64106   |  1|   521955/01|03/10/14| 341|           1577,17
 7323332000156  Atual Modulados Lt|  1|64106   |  1|   521956/01|03/10/14| 341|           1315,69
 7323332000156  Atual Modulados Lt|  1|64106   |  1|   521957/01|03/10/14| 341|            485,78
 7715770000160  Atual Planejados C|  1|64106   |  1|   521958/01|03/10/14| 341|            416,61
 7781641000170  Campos e Permanhan|  1|64106   |  1|   521959/01|03/10/14| 341|             83,84
 8209749000155  Fabiana de Lima Me|  1|64106   |  1|   521960/01|03/10/14| 341|           2603,18
 8802061000184  Delar Angra Comerc|  1|64106   |  1|   521961/01|03/10/14| 341|           2113,23
 8827307000172  R L e Laje Moveis |  1|64106   |  1|   521962/01|03/10/14| 341|           1026,03
 8849555000114  Cw Modulados Ltda |  1|64106   |  1|   521963/01|03/10/14| 341|           1764,30
 8863555000179  Serra Design Ltda |  1|64106   |  1|   521964/01|03/10/14| 341|            676,46
 9139087000157  Alexandre Gama Fer|  1|64106   |  1|   521965/01|03/10/14| 341|            859,31
